"Input Order","Search Term","Mouse GeneID","MGIID","Mouse Symbol","Species 2","Fly GeneID","Fly Species Gene ID","Fly Symbol","Ensmbl ID  (link HPA)","DIOPT Score","Weighted Score","Rank","Best Score","Best Score Reverse","Prediction Derived From","Alignment & Scores","Feedback","Gene Details"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","42773","FBgn0039084","CG10175","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (CG10175)    DRscDB Data: (CG10175)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40381","FBgn0037090","Est-Q","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Est-Q)    DRscDB Data: (Est-Q)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","39873","FBgn0004108","Nrt","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Nrt)    DRscDB Data: (Nrt)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","41625","FBgn0000024","Ace","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Ace)    DRscDB Data: (Ace)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","36616","FBgn0033943","CG12869","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (CG12869)    DRscDB Data: (CG12869)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","31352","FBgn0029690","CG6414","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (CG6414)    DRscDB Data: (CG6414)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","117300","FBgn0000326","clt","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (clt)    DRscDB Data: (clt)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","33313","FBgn0031327","CG5397","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (CG5397)    DRscDB Data: (CG5397)"
"69","Nlgn2","216856","2681835","Nlgn2","Fly","40907","FBgn0015571","alpha-Est3","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (alpha-Est3)    DRscDB Data: (alpha-Est3)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40912","FBgn0083963","Nlg3","","11","10.89","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Nlg3)    DRscDB Data: (Nlg3)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","42402","FBgn0083975","Nlg4","","9","8.93","moderate","No","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam","","Add","G2F details (Nlg4)    DRscDB Data: (Nlg4)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","33962","FBgn0031866","Nlg2","","9","8.91","moderate","No","Yes","eggNOG, Hieranoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Nlg2)    DRscDB Data: (Nlg2)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40913","FBgn0051146","Nlg1","","6","5.88","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, Panther, Phylome, TreeFam","","Add","G2F details (Nlg1)    DRscDB Data: (Nlg1)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","37854","FBgn0034972","CG10339","","4","4.02","moderate","No","Yes","eggNOG, OMA, OrthoDB, Panther","","Add","G2F details (CG10339)    DRscDB Data: (CG10339)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","34927","FBgn0001987","Gli","","4","4.01","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, Panther","","Add","G2F details (Gli)    DRscDB Data: (Gli)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40901","FBgn0015575","alpha-Est7","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est7)    DRscDB Data: (alpha-Est7)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40899","FBgn0015576","alpha-Est8","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est8)    DRscDB Data: (alpha-Est8)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","39392","FBgn0000592","Est-6","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Est-6)    DRscDB Data: (Est-6)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40908","FBgn0015570","alpha-Est2","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est2)    DRscDB Data: (alpha-Est2)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","34278","FBgn0032131","CG3841","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (CG3841)    DRscDB Data: (CG3841)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40905","FBgn0261393","alpha-Est5","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est5)    DRscDB Data: (alpha-Est5)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","39393","FBgn0000594","Est-P","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Est-P)    DRscDB Data: (Est-P)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","41330","FBgn0027584","CG4757","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (CG4757)    DRscDB Data: (CG4757)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","36779","FBgn0034076","Jhedup","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Jhedup)    DRscDB Data: (Jhedup)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40902","FBgn0015574","alpha-Est6","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est6)    DRscDB Data: (alpha-Est6)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","34194","FBgn0032057","CG9287","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (CG9287)    DRscDB Data: (CG9287)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","34279","FBgn0032132","CG4382","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (CG4382)    DRscDB Data: (CG4382)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","37572","FBgn0034736","gas","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (gas)    DRscDB Data: (gas)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40909","FBgn0015568","alpha-Est1","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est1)    DRscDB Data: (alpha-Est1)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","36780","FBgn0010052","Jhe","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Jhe)    DRscDB Data: (Jhe)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","34193","FBgn0001114","Glt","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (Glt)    DRscDB Data: (Glt)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","34195","FBgn0032058","CG9289","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (CG9289)    DRscDB Data: (CG9289)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40897","FBgn0015577","alpha-Est9","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est9)    DRscDB Data: (alpha-Est9)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40896","FBgn0015569","alpha-Est10","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est10)    DRscDB Data: (alpha-Est10)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40906","FBgn0015572","alpha-Est4","","3","2.84","low","No","No","Compara, eggNOG, OrthoDB","","Add","G2F details (alpha-Est4)    DRscDB Data: (alpha-Est4)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","42773","FBgn0039084","CG10175","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (CG10175)    DRscDB Data: (CG10175)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40381","FBgn0037090","Est-Q","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Est-Q)    DRscDB Data: (Est-Q)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","39873","FBgn0004108","Nrt","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Nrt)    DRscDB Data: (Nrt)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","41625","FBgn0000024","Ace","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Ace)    DRscDB Data: (Ace)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","36616","FBgn0033943","CG12869","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (CG12869)    DRscDB Data: (CG12869)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","31352","FBgn0029690","CG6414","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (CG6414)    DRscDB Data: (CG6414)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","117300","FBgn0000326","clt","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (clt)    DRscDB Data: (clt)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","33313","FBgn0031327","CG5397","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (CG5397)    DRscDB Data: (CG5397)"
"70","Nlgn3","245537","2444609","Nlgn3","Fly","40907","FBgn0015571","alpha-Est3","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (alpha-Est3)    DRscDB Data: (alpha-Est3)"
"71","Nlgn4x","100113365","3775191","Nlgn4l","Fly","40912","FBgn0083963","Nlg3","","3","3.15","moderate","Yes","No","Hieranoid, Inparanoid, Panther","","Add","G2F details (Nlg3)    DRscDB Data: (Nlg3)"
"71","Nlgn4x","100113365","3775191","Nlgn4l","Fly","42402","FBgn0083975","Nlg4","","3","3.15","moderate","Yes","No","Hieranoid, Inparanoid, Panther","","Add","G2F details (Nlg4)    DRscDB Data: (Nlg4)"
"71","Nlgn4x","100113365","3775191","Nlgn4l","Fly","33962","FBgn0031866","Nlg2","","2","2.1","low","No","No","Hieranoid, Panther","","Add","G2F details (Nlg2)    DRscDB Data: (Nlg2)"
"72","Nr3c2","110784","99459","Nr3c2","Fly","38912","FBgn0035849","ERR","","2","2.03","moderate","Yes","No","Compara, Panther","","Add","G2F details (ERR)    DRscDB Data: (ERR)"
"73","Nrxn1","18189","1096391","Nrxn1","Fly","42646","FBgn0038975","Nrx-1","","11","10.91","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (Nrx-1)    DRscDB Data: (Nrx-1)"
"74","Nrxn2","18190","1096362","Nrxn2","Fly","42646","FBgn0038975","Nrx-1","","11","10.86","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, TreeFam","","Add","G2F details (Nrx-1)    DRscDB Data: (Nrx-1)"
"75","Pcdh19","279653","2685563","Pcdh19","Fly","43033","FBgn0039294","Cad96Cb","","1","1.05","low","Yes","Yes","Inparanoid","","Add","G2F details (Cad96Cb)    DRscDB Data: (Cad96Cb)"
"76","Pogz","229584","2442117","Pogz","Fly","36685","FBgn0033998","row","","6","5.72","high","Yes","Yes","eggNOG, Isobase, OrthoFinder, OrthoInspector, Phylome, TreeFam","","Add","G2F details (row)    DRscDB Data: (row)"
"77","Ptchd1","211612","2685233","Ptchd1","Fly","35546","FBgn0262867","Ptr","","5","4.9","moderate","Yes","No","Compara, eggNOG, OrthoDB, Panther, TreeFam","","Add","G2F details (Ptr)    DRscDB Data: (Ptr)"
"78","Pten","19211","109583","Pten","Fly","43991","FBgn0026379","Pten","","13","12.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Pten)    DRscDB Data: (Pten)"
"79","Rai1","19377","103291","Rai1","Fly","37063","FBgn0034300","CG5098","","4","3.98","moderate","Yes","No","Compara, eggNOG, Inparanoid, Panther","","Add","G2F details (CG5098)    DRscDB Data: (CG5098)"
"80","Reln","19699","103022","Reln","Fly","36333","FBgn0033710","CG17739","","1","0.95","low","Yes","No","Isobase","","Add","G2F details (CG17739)    DRscDB Data: (CG17739)"
"81","Rims1","116837","2152971","Rims1","Fly","42150","FBgn0053547","Rim","","8","7.97","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OrthoInspector, Panther, RoundUp, TreeFam","","Add","G2F details (Rim)    DRscDB Data: (Rim)"
"81","Rims1","116837","2152971","Rims1","Fly","38337","FBgn0264606","Fife","","3","2.95","moderate","No","Yes","eggNOG, Isobase, Panther","","Add","G2F details (Fife)    DRscDB Data: (Fife)"
"82","Scn1a","20265","98246","Scn1a","Fly","32619","FBgn0285944","para","","11","10.91","moderate","Yes","No","eggNOG, Hieranoid, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (para)    DRscDB Data: (para)"
"82","Scn1a","20265","98246","Scn1a","Fly","37981","FBgn0085434","NaCP60E","","3","2.81","low","No","No","eggNOG, OrthoDB, orthoMCL","","Add","G2F details (NaCP60E)    DRscDB Data: (NaCP60E)"
"83","Scn2a","110876","98248","Scn2a","Fly","32619","FBgn0285944","para","","9","9.1","moderate","Yes","No","Hieranoid, Homologene, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp","","Add","G2F details (para)    DRscDB Data: (para)"
"84","Scn8a","20273","103169","Scn8a","Fly","32619","FBgn0285944","para","","12","11.86","high","Yes","Yes","eggNOG, Hieranoid, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp","","Add","G2F details (para)    DRscDB Data: (para)"
"84","Scn8a","20273","103169","Scn8a","Fly","37981","FBgn0085434","NaCP60E","","4","3.84","moderate","No","Yes","eggNOG, OrthoDB, orthoMCL, RoundUp","","Add","G2F details (NaCP60E)    DRscDB Data: (NaCP60E)"
"84","Scn8a","20273","103169","Scn8a","Fly","45338","FBgn0002917","na","","3","2.94","low","No","No","eggNOG, OrthoDB, RoundUp","","Add","G2F details (na)    DRscDB Data: (na)"
"84","Scn8a","20273","103169","Scn8a","Fly","32158","FBgn0263111","cac","","3","2.94","low","No","No","eggNOG, OrthoDB, RoundUp","","Add","G2F details (cac)    DRscDB Data: (cac)"
"84","Scn8a","20273","103169","Scn8a","Fly","34950","FBgn0001991","Ca-alpha1D","","3","2.94","low","No","No","eggNOG, OrthoDB, RoundUp","","Add","G2F details (Ca-alpha1D)    DRscDB Data: (Ca-alpha1D)"
"84","Scn8a","20273","103169","Scn8a","Fly","31550","FBgn0264386","Ca-alpha1T","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Ca-alpha1T)    DRscDB Data: (Ca-alpha1T)"
"85","Setd5","72895","1920145","Setd5","Fly","39551","FBgn0036398","upSET","","10","9.86","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, Isobase, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp","","Add","G2F details (upSET)    DRscDB Data: (upSET)"
"85","Setd5","72895","1920145","Setd5","Fly","41498","FBgn0038016","MBD-R2","","2","1.93","low","No","No","eggNOG, RoundUp","","Add","G2F details (MBD-R2)    DRscDB Data: (MBD-R2)"
"86","Shank2","210274","2671987","Shank2","Fly","50225","FBgn0040752","Prosap","","10","9.87","moderate","Yes","No","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (Prosap)    DRscDB Data: (Prosap)"
"87","Shank3","58234","1930016","Shank3","Fly","50225","FBgn0040752","Prosap","","11","10.78","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Prosap)    DRscDB Data: (Prosap)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","43805","FBgn0039915","Gat","","13","12.64","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Phylome, RoundUp, TreeFam","","Add","G2F details (Gat)    DRscDB Data: (Gat)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","319016","FBgn0260479","CG31904","","2","1.83","moderate","No","Yes","Compara, eggNOG","","Add","G2F details (CG31904)    DRscDB Data: (CG31904)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","34046","FBgn0267326","Ntl","","3","2.78","low","No","No","Compara, eggNOG, Isobase","","Add","G2F details (Ntl)    DRscDB Data: (Ntl)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","37895","FBgn0010414","SerT","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (SerT)    DRscDB Data: (SerT)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","36006","FBgn0033443","CG1698","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG1698)    DRscDB Data: (CG1698)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","34863","FBgn0028886","CG15279","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG15279)    DRscDB Data: (CG15279)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","33659","FBgn0011603","ine","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (ine)    DRscDB Data: (ine)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","34048","FBgn0031936","CG13794","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG13794)    DRscDB Data: (CG13794)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","34047","FBgn0031935","CG13793","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG13793)    DRscDB Data: (CG13793)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","36331","FBgn0033708","CG8850","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG8850)    DRscDB Data: (CG8850)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","39056","FBgn0035969","CG4476","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG4476)    DRscDB Data: (CG4476)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","31457","FBgn0029762","NAAT1","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (NAAT1)    DRscDB Data: (NAAT1)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","37157","FBgn0034381","List","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (List)    DRscDB Data: (List)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","36849","FBgn0034136","DAT","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (DAT)    DRscDB Data: (DAT)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","34051","FBgn0031939","CG13796","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG13796)    DRscDB Data: (CG13796)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","37129","FBgn0262476","CG43066","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG43066)    DRscDB Data: (CG43066)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","2768941","FBgn0053296","CG33296","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG33296)    DRscDB Data: (CG33296)"
"88","Slc6a1","232333","95627","Slc6a1","Fly","34049","FBgn0031937","CG13795","","2","1.83","low","No","No","Compara, eggNOG","","Add","G2F details (CG13795)    DRscDB Data: (CG13795)"
"89","Slc9a6","236794","2443511","Slc9a6","Fly","33939","FBgn0028703","Nhe3","","13","12.87","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Nhe3)    DRscDB Data: (Nhe3)"
"89","Slc9a6","236794","2443511","Slc9a6","Fly","33167","FBgn0026787","Nhe1","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Nhe1)    DRscDB Data: (Nhe1)"
"90","Spast","50850","1858896","Spast","Fly","42846","FBgn0039141","spas","","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (spas)    DRscDB Data: (spas)"
"90","Spast","50850","1858896","Spast","Fly","33544","FBgn0031519","Fign","","4","3.81","moderate","No","No","eggNOG, OrthoDB, OrthoFinder, orthoMCL","","Add","G2F details (Fign)    DRscDB Data: (Fign)"
"91","Stxbp1","20910","107363","Stxbp1","Fly","38493","FBgn0004574","Rop","","14","13.74","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Rop)    DRscDB Data: (Rop)"
"92","Syngap1","240057","3039785","Syngap1","Fly","32754","FBgn0261570","CG42684","","10","9.93","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, Panther, Phylome, RoundUp","","Add","G2F details (CG42684)    DRscDB Data: (CG42684)"
"92","Syngap1","240057","3039785","Syngap1","Fly","32569","FBgn0003969","vap","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (vap)    DRscDB Data: (vap)"
"93","Tbr1","21375","107404","Tbr1","Fly","31778","FBgn0021767","org-1","","2","2","moderate","Yes","No","eggNOG, Panther","","Add","G2F details (org-1)    DRscDB Data: (org-1)"
"93","Tbr1","21375","107404","Tbr1","Fly","37874","FBgn0266083","ocm","","2","1.83","moderate","Yes","No","Compara, eggNOG","","Add","G2F details (ocm)    DRscDB Data: (ocm)"
"93","Tbr1","21375","107404","Tbr1","Fly","39038","FBgn0035956","Doc2","","2","1.83","moderate","Yes","No","Compara, eggNOG","","Add","G2F details (Doc2)    DRscDB Data: (Doc2)"
"93","Tbr1","21375","107404","Tbr1","Fly","33770","FBgn0261963","mid","","2","1.83","moderate","Yes","No","Compara, eggNOG","","Add","G2F details (mid)    DRscDB Data: (mid)"
"93","Tbr1","21375","107404","Tbr1","Fly","39039","FBgn0028789","Doc1","","2","1.83","moderate","Yes","No","Compara, eggNOG","","Add","G2F details (Doc1)    DRscDB Data: (Doc1)"
"93","Tbr1","21375","107404","Tbr1","Fly","39036","FBgn0035954","Doc3","","2","1.83","moderate","Yes","No","Compara, eggNOG","","Add","G2F details (Doc3)    DRscDB Data: (Doc3)"
"93","Tbr1","21375","107404","Tbr1","Fly","33769","FBgn0016660","H15","","2","1.83","moderate","Yes","No","Compara, eggNOG","","Add","G2F details (H15)    DRscDB Data: (H15)"
"94","Syn1","20964","98460","Syn1","Fly","41247","FBgn0004575","Syn","","10","9.85","moderate","Yes","No","eggNOG, Hieranoid, Inparanoid, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Syn)    DRscDB Data: (Syn)"
"95","Tcf20","21411","108399","Tcf20","Fly","37063","FBgn0034300","CG5098","","7","6.96","high","Yes","Yes","Compara, eggNOG, Inparanoid, Isobase, OrthoFinder, Panther, RoundUp","","Add","G2F details (CG5098)    DRscDB Data: (CG5098)"
"96","Tcf4","21413","98506","Tcf4","Fly","34413","FBgn0267821","da","","12","11.79","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (da)    DRscDB Data: (da)"
"97","Trio","223435","1927230","Trio","Fly","43974","FBgn0024277","trio","","12","11.9","high","Yes","Yes","eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (trio)    DRscDB Data: (trio)"
"97","Trio","223435","1927230","Trio","Fly","36929","FBgn0050456","CG30456","","3","3.03","low","No","No","Compara, OrthoFinder, Panther","","Add","G2F details (CG30456)    DRscDB Data: (CG30456)"
"97","Trio","223435","1927230","Trio","Fly","36930","FBgn0034194","CG15611","","3","3.03","low","No","No","Compara, OrthoFinder, Panther","","Add","G2F details (CG15611)    DRscDB Data: (CG15611)"
"98","Tsc1","64930","1929183","Tsc1","Fly","42862","FBgn0026317","Tsc1","","11","10.88","high","Yes","Yes","Compara, eggNOG, Hieranoid, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (Tsc1)    DRscDB Data: (Tsc1)"
"99","Tsc2","22084","102548","Tsc2","Fly","40201","FBgn0005198","gig","","12","11.88","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (gig)    DRscDB Data: (gig)"
"100","Ube3a","22215","105098","Ube3a","Fly","39266","FBgn0061469","Ube3a","","14","13.8","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Ube3a)    DRscDB Data: (Ube3a)"
"100","Ube3a","22215","105098","Ube3a","Fly","38151","FBgn0035207","Herc4","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Herc4)    DRscDB Data: (Herc4)"
"101","Tshz3","243931","2442819","Tshz3","Fly","35430","FBgn0003866","tsh","","8","7.92","high","Yes","Yes","Compara, Inparanoid, Isobase, OrthoInspector, orthoMCL, Panther, RoundUp, TreeFam","","Add","G2F details (tsh)    DRscDB Data: (tsh)"
"101","Tshz3","243931","2442819","Tshz3","Fly","44272","FBgn0028979","tio","","6","6.07","moderate","No","No","Compara, Inparanoid, OrthoInspector, Panther, RoundUp, TreeFam","","Add","G2F details (tio)    DRscDB Data: (tio)"
"102","Upf3b","68134","1915384","Upf3b","Fly","37792","FBgn0034923","Upf3","","11","10.79","high","Yes","Yes","Compara, eggNOG, Inparanoid, OMA, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (Upf3)    DRscDB Data: (Upf3)"
"103","Wdfy3","72145","1096875","Wdfy3","Fly","33819","FBgn0043362","bchs","","15","14.75","high","Yes","Yes","Compara, eggNOG, Hieranoid, Homologene, Inparanoid, Isobase, OMA, OrthoDB, OrthoFinder, OrthoInspector, orthoMCL, Panther, Phylome, RoundUp, TreeFam","","Add","G2F details (bchs)    DRscDB Data: (bchs)"
"103","Wdfy3","72145","1096875","Wdfy3","Fly","38259","FBgn0265988","mv","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (mv)    DRscDB Data: (mv)"
"103","Wdfy3","72145","1096875","Wdfy3","Fly","34616","FBgn0032395","Wdr81","","2","1.91","low","No","No","eggNOG, OrthoDB","","Add","G2F details (Wdr81)    DRscDB Data: (Wdr81)"
